symbol,interval,activation_mfe,trailing_drawdown,triggered,decision_time_utc,execution_time_utc,execution_price,gross_return,net_return,running_mfe_at_signal,close_drawdown_at_signal,volume_vs_prior20_median,upper_wick_share
VELVET,15m,5.0,0.02,True,2026-06-11T18:00+00:00,2026-06-11T18:15+00:00,1.16179,5.282323041150706,5.257243907253896,5.481209106148271,-0.031387403322292395,1.8863294264118105,0.29861882838545795
VELVET,15m,5.0,0.03,True,2026-06-11T18:00+00:00,2026-06-11T18:15+00:00,1.16179,5.282323041150706,5.257243907253896,5.481209106148271,-0.031387403322292395,1.8863294264118105,0.29861882838545795
VELVET,15m,5.0,0.05,True,2026-06-11T19:00+00:00,2026-06-11T19:15+00:00,1.31989,6.137241118260963,6.108749137748943,6.526253176877736,-0.05123470538787067,1.1568166766984622,0.3199340342197484
VELVET,15m,5.0,0.08,True,2026-06-11T19:15+00:00,2026-06-11T19:30+00:00,1.24723,5.744335694587141,5.717412198800366,6.526253176877736,-0.10387762873339412,0.9406173309345118,0.20032137118371732
VELVET,15m,5.0,0.1,True,2026-06-11T19:15+00:00,2026-06-11T19:30+00:00,1.24723,5.744335694587141,5.717412198800366,6.526253176877736,-0.10387762873339412,0.9406173309345118,0.20032137118371732
VELVET,15m,5.0,0.12,True,2026-06-11T21:15+00:00,2026-06-11T21:30+00:00,1.39926,6.566430541285891,6.536225229743832,8.490077326555992,-0.20287179487179485,0.8803380234528306,0.29141219420655834
VELVET,15m,5.0,0.15,True,2026-06-11T21:15+00:00,2026-06-11T21:30+00:00,1.39926,6.566430541285891,6.536225229743832,8.490077326555992,-0.20287179487179485,0.8803380234528306,0.29141219420655834
VELVET,15m,5.0,0.2,True,2026-06-11T21:15+00:00,2026-06-11T21:30+00:00,1.39926,6.566430541285891,6.536225229743832,8.490077326555992,-0.20287179487179485,0.8803380234528306,0.29141219420655834
VELVET,15m,5.0,0.25,True,2026-06-11T21:30+00:00,2026-06-11T21:45+00:00,1.29858,6.022008327475261,5.993976358104102,8.490077326555992,-0.260062678062678,0.9301272340422364,0.2407179065625431
VELVET,15m,5.0,0.3,True,2026-06-12T15:00+00:00,2026-06-12T15:15+00:00,0.98687,4.336451630346618,4.315148430225473,9.393121721732546,-0.48695109261186265,10.838235567241812,0.01291810469954532
VELVET,15m,7.0,0.02,True,2026-06-11T20:30+00:00,2026-06-11T20:45+00:00,1.6581,7.966095279294867,7.93030248376874,8.490077326555992,-0.05517948717948706,1.1119023312718475,0.11575630252100809
VELVET,15m,7.0,0.03,True,2026-06-11T20:30+00:00,2026-06-11T20:45+00:00,1.6581,7.966095279294867,7.93030248376874,8.490077326555992,-0.05517948717948706,1.1119023312718475,0.11575630252100809
VELVET,15m,7.0,0.05,True,2026-06-11T20:30+00:00,2026-06-11T20:45+00:00,1.6581,7.966095279294867,7.93030248376874,8.490077326555992,-0.05517948717948706,1.1119023312718475,0.11575630252100809
VELVET,15m,7.0,0.08,True,2026-06-11T20:45+00:00,2026-06-11T21:00+00:00,1.59798,7.640999297031309,7.606504289857531,8.490077326555992,-0.08968660968660969,0.9325101704380413,0.21838608028497145
VELVET,15m,7.0,0.1,True,2026-06-11T21:00+00:00,2026-06-11T21:15+00:00,1.54913,7.3768452928134955,7.343404792642584,8.490077326555992,-0.11782905982905978,0.6345426318984811,0.2462334157859234
VELVET,15m,7.0,0.12,True,2026-06-11T21:15+00:00,2026-06-11T21:30+00:00,1.39926,6.566430541285891,6.536225229743832,8.490077326555992,-0.20287179487179485,0.8803380234528306,0.29141219420655834
VELVET,15m,7.0,0.15,True,2026-06-11T21:15+00:00,2026-06-11T21:30+00:00,1.39926,6.566430541285891,6.536225229743832,8.490077326555992,-0.20287179487179485,0.8803380234528306,0.29141219420655834
VELVET,15m,7.0,0.2,True,2026-06-11T21:15+00:00,2026-06-11T21:30+00:00,1.39926,6.566430541285891,6.536225229743832,8.490077326555992,-0.20287179487179485,0.8803380234528306,0.29141219420655834
VELVET,15m,7.0,0.25,True,2026-06-11T21:30+00:00,2026-06-11T21:45+00:00,1.29858,6.022008327475261,5.993976358104102,8.490077326555992,-0.260062678062678,0.9301272340422364,0.2407179065625431
VELVET,15m,7.0,0.3,True,2026-06-12T15:00+00:00,2026-06-12T15:15+00:00,0.98687,4.336451630346618,4.315148430225473,9.393121721732546,-0.48695109261186265,10.838235567241812,0.01291810469954532
